,0
1997,28720
1998,30405
1999,29775
2000,29720
2001,29707
2002,29646
2003,29647
2004,29822
2005,28939
2006,29755
2007,29656
2008,29318
2009,29155
2010,29851
2011,27571
2012,29169
2013,27732
2014,29895
2015,29849
2016,29803
2017,29896
2018,28888
2019,29932
2020,27701
2021,27717
2022,27089
2023,29948
2024,29527
2025,29796
2026,29968
2027,29867
2028,29654
2029,29325
2030,30015
2031,26055
2032,29989
2033,28491
2034,29874
2035,30094
2036,29636
2037,30140
2038,30159
2039,29319
2040,29612
2041,30103
2042,28494
2043,29390
2044,30101
2045,30102
2046,30215
2047,30105
2048,29998
2049,29908
2050,29920
2051,24899
2052,30258
2053,30114
2054,30367
2055,29952
2056,30060
2057,30130
2058,30223
2059,30253
2060,30419
2061,24939
2062,25326
2063,30214
2064,30044
2065,25637
2066,25033
2067,25060
2068,25805
2069,30217
2070,25157
2071,26054
2072,26057
2073,30325
2074,25082
2075,25311
2076,27158
2077,27789
2078,30629
2079,25000
2080,30665
2081,30336
2082,26004
2083,26290
2084,26482
2085,26543
2086,26659
2087,30365
2088,30461
2089,26140
2090,26374
2091,26343
2092,26545
2093,30800
2094,30798
2095,30784
2096,27062
2097,27554
2098,26738
2099,26778
2100,26476
2101,26726
2102,26863
2103,28159
2104,29003
2105,30830
2106,30892
2107,30904
2108,27822
2109,27820
2110,28935
2111,28896
2112,28897
2113,28899
2114,28901
2115,28902
2116,28904
2117,28926
2118,29015
2119,28965
2120,28968
2121,28988
2122,28990
2123,28991
2124,27144
2125,30776
2126,30950
2127,28894
2128,28908
2129,28911
2130,28912
2131,28913
2132,28931
2133,28933
2134,28951
2135,28952
2136,28985
2137,28932
2138,26976
2139,26882
2140,27698
2141,27682
2142,30566
2143,31030
2144,30827
2145,26908
2146,27013
2147,27248
2148,27257
2149,26816
2150,27049
2151,26797
2152,27839
2153,26848
2154,26783
2155,27394
2156,27005
2157,27577
2158,31049
2159,27312
2160,27705
2161,27519
2162,27250
2163,29972
2164,31091
2165,27876
2166,31132
2167,31138
2168,27612
2169,27799
2170,31204
2171,27561
2172,30959
2173,26932
2174,30392
2175,30826
2176,30868
2177,25018
2178,30893
2179,30703
2180,29974
2181,31064
2182,30834
2183,31320
2184,27092
2185,28998
2186,31356
2187,27823
2188,26544
2189,28906
2190,28910
2191,26280
2192,25251
2193,31257
2194,25074
2195,31502
2196,31160
2197,28701
2198,28928
2199,30958
