,0
1570,45763
1571,45578
1572,54090
1573,46479
1574,53663
1575,28857
1576,34295
1577,34933
1578,35004
1579,34732
1580,35699
1581,36289
1582,35272
1583,35496
1584,36272
1585,35271
1586,37036
1587,37056
1588,38161
1589,37721
1590,38603
1591,39712
1592,36332
1593,41032
1594,43014
1595,42625
1596,46045
1597,45507
1598,58516
1599,28972
1600,29122
1601,29606
1602,32200
1603,31458
1604,29582
1605,31713
1606,32845
1607,30301
1608,31946
1609,31737
1610,32338
1611,34471
1612,33726
1613,35491
1614,36571
1615,34311
1616,36392
1617,31142
1618,33310
1619,32500
1620,34546
1621,38944
1622,40093
1623,40094
1624,41808
1625,49480
1626,47681
1627,48257
1628,48991
1629,51727
1630,51478
1631,53939
1632,53251
1633,55320
1634,57387
1635,59553
1636,33973
1637,39929
1638,39370
1639,51943
1640,33854
1641,35599
1642,52075
1643,52974
1644,45657
1645,59662
1646,41842
1647,41840
1648,52501
1649,53688
1650,53854
1651,59196
1652,51490
1653,41635
1654,40477
1655,55423
1656,56002
1657,40680
1658,40676
1659,50475
1660,50601
1661,51962
1662,36741
1663,32975
1664,31837
1665,37462
1666,48961
1667,54138
1668,56209
1669,58582
1670,35587
1671,36097
1672,37025
1673,37548
1674,38492
1675,37330
1676,40585
1677,40657
1678,41495
1679,44033
1680,43954
1681,45151
1682,51332
1683,33542
1684,33026
1685,30395
1686,30480
1687,34735
1688,37519
1689,43090
1690,46796
1691,49862
1692,58394
1693,30949
1694,35237
1695,36049
1696,36409
1697,29862
1698,38651
1699,36524
1700,39232
1701,38250
1702,32482
1703,35061
1704,32038
1705,32628
1706,35239
1707,37142
1708,37844
1709,39211
1710,39403
1711,39815
1712,40742
1713,51247
1714,56346
1715,40392
1716,34493
1717,30887
1718,35572
1719,31047
1720,32939
1721,46842
1722,47749
1723,49445
1724,53628
1725,55394
1726,56015
1727,60080
