,0
1580,36339
1581,36362
1582,36176
1583,36177
1584,36410
1585,36467
1586,36478
1587,36520
1588,36534
1589,35529
1590,36373
1591,36374
1592,36335
1593,36270
1594,36376
1595,36576
1596,36575
1597,36381
1598,36407
1599,34260
1600,36625
1601,36477
1602,36654
1603,36667
1604,36704
1605,36716
1606,36719
1607,36729
1608,36742
1609,36816
1610,35437
1611,36988
1612,37014
1613,36705
1614,36838
1615,37075
1616,37141
1617,37143
1618,37188
1619,37186
1620,36778
1621,36779
1622,36780
1623,37240
1624,36295
1625,35410
1626,37455
1627,37588
1628,37137
1629,37751
1630,37781
1631,37714
1632,37785
1633,37873
1634,37512
1635,37513
1636,37392
1637,38068
1638,35367
1639,35817
1640,38014
1641,35731
1642,38256
1643,38237
1644,37716
1645,38357
1646,37184
1647,37851
1648,35542
1649,35138
1650,37169
1651,37167
1652,38460
1653,38524
1654,38556
1655,35577
1656,38574
1657,38160
1658,38605
1659,38573
1660,38718
1661,35296
1662,38594
1663,38840
1664,38879
1665,35578
1666,38878
1667,36828
1668,38520
1669,39043
1670,37942
1671,38476
1672,37308
1673,39213
1674,39306
1675,39448
1676,34561
1677,39152
1678,39496
1679,39656
1680,39642
1681,39645
1682,39715
1683,37539
1684,39767
1685,39789
1686,39811
1687,39821
1688,39830
1689,38281
1690,39864
1691,39865
1692,37345
1693,38482
1694,39873
1695,39925
1696,39949
1697,39842
1698,38536
1699,39841
1700,38479
1701,40010
1702,39291
1703,39168
1704,40065
1705,40090
1706,40067
1707,40098
1708,40103
1709,40105
1710,40106
1711,40107
1712,40066
1713,40108
1714,40159
1715,37264
1716,40171
1717,39251
1718,39209
1719,40272
1720,40280
1721,40282
1722,40283
1723,37402
1724,37620
1725,39224
1726,39937
1727,39264
1728,38339
1729,38338
1730,40525
1731,38129
1732,40338
1733,39835
1734,40501
1735,39176
1736,38389
1737,36268
1738,36269
1739,36195
1740,40961
1741,39444
1742,37536
1743,36239
1744,38392
1745,39431
1746,40416
1747,39469
1748,39199
1749,43166
1750,42771
1751,39394
1752,43263
1753,40365
1754,39950
1755,46900
1756,51600
1757,56888
1758,26305
1759,26371
1760,29099
1761,31227
1762,29781
1763,34184
1764,34188
1765,34185
1766,34189
1767,33692
1768,33966
1769,34187
1770,30039
1771,34582
1772,37761
1773,38904
1774,39987
1775,40579
1776,39604
1777,42630
1778,44953
1779,41727
1780,44221
1781,42456
1782,46785
1783,42955
1784,44954
1785,46872
1786,46367
1787,49398
1788,49131
1789,49132
1790,50586
1791,51654
1792,52623
1793,52089
1794,51945
1795,52692
1796,53927
1797,53934
1798,54553
1799,52662
1800,52992
1801,51651
1802,53084
1803,55288
1804,55863
1805,51833
1806,57108
1807,56817
1808,58951
1809,56173
1810,57398
1811,58837
1812,59486
1813,60056
1814,60147
1815,34154
1816,57369
1817,57056
1818,27223
1819,27224
1820,27202
1821,27234
1822,27237
1823,27244
1824,25087
1825,27272
1826,26799
1827,27266
1828,27270
1829,27245
1830,27398
1831,27289
1832,27381
